team,elo,round
Arsenal,1416.6,1
Brighton,1376.6,1
Chelsea,1376.6,1
Crystal Palace,1376.6,1
Everton,1416.6,1
Southampton,1396.6,1
Watford,1396.6,1
Man United,1416.6,1
Newcastle,1376.6,1
Bournemouth,1383.4,1
Burnley,1423.4,1
Leicester,1383.4,1
Liverpool,1403.4,1
Huddersfield,1423.4,1
Tottenham,1423.4,1
Man City,1423.4,1
West Ham,1383.4,1
Arsenal,1398.12,2
Brighton,1360.4,2
Chelsea,1402.56,2
Crystal Palace,1361.48,2
Everton,1420.4,2
Southampton,1412.44,2
Watford,1419.28,2
Man United,1439.28,2
Newcastle,1362.56,2
Bournemouth,1360.72,2
Burnley,1399.6,2
Leicester,1399.6,2
Liverpool,1418.52,2
Huddersfield,1437.44,2
Tottenham,1397.44,2
Man City,1419.6,2
West Ham,1367.56,2
Arsenal,1382.68,3
Brighton,1367.0,3
Chelsea,1420.16,3
Crystal Palace,1339.16,3
Everton,1402.8,3
Southampton,1417.24,3
Watford,1412.68,3
Man United,1453.68,3
Newcastle,1379.44,3
Bournemouth,1340.64,3
Burnley,1402.88,3
Leicester,1385.2,3
Liverpool,1433.96,3
Huddersfield,1432.64,3
Tottenham,1394.16,3
Man City,1439.68,3
West Ham,1350.68,3
Arsenal,1396.96,4
Brighton,1387.44,4
Chelsea,1441.6,4
Crystal Palace,1326.0,4
Everton,1378.88,4
Southampton,1393.56,4
Watford,1436.36,4
Man United,1454.48,4
Newcastle,1404.16,4
Bournemouth,1326.36,4
Burnley,1416.04,4
Leicester,1363.76,4
Liverpool,1417.68,4
Huddersfield,1411.36,4
Tottenham,1418.08,4
Man City,1455.96,4
West Ham,1371.96,4
Arsenal,1402.8,5
Brighton,1367.36,5
Chelsea,1435.76,5
Crystal Palace,1306.44,5
Everton,1366.32,5
Southampton,1413.12,5
Watford,1414.04,5
Man United,1467.04,5
Newcastle,1420.88,5
Bournemouth,1346.44,5
Burnley,1419.56,5
Leicester,1369.76,5
Liverpool,1414.16,5
Huddersfield,1405.36,5
Tottenham,1412.48,5
Man City,1478.28,5
West Ham,1377.68,5
Arsenal,1419.72,6
Brighton,1387.0,6
Chelsea,1456.56,6
Crystal Palace,1298.12,6
Everton,1381.8,6
Southampton,1392.76,6
Watford,1435.76,6
Man United,1487.4,6
Newcastle,1401.24,6
Bournemouth,1330.96,6
Burnley,1415.36,6
Leicester,1348.88,6
Liverpool,1435.04,6
Huddersfield,1409.56,6
Tottenham,1433.92,6
Man City,1486.6,6
West Ham,1356.24,6
Arsenal,1434.52,7
Brighton,1372.2,7
Chelsea,1434.84,7
Crystal Palace,1290.44,7
Everton,1360.28,7
Southampton,1374.84,7
Watford,1436.68,7
Man United,1495.08,7
Newcastle,1399.72,7
Bournemouth,1328.56,7
Burnley,1436.88,7
Leicester,1351.28,7
Liverpool,1436.56,7
Huddersfield,1387.52,7
Tottenham,1455.96,7
Man City,1508.32,7
West Ham,1373.16,7
Arsenal,1418.08,8
Brighton,1368.12,8
Chelsea,1410.08,8
Crystal Palace,1315.2,8
Everton,1364.36,8
Southampton,1372.84,8
Watford,1453.12,8
Man United,1495.16,8
Newcastle,1401.72,8
Bournemouth,1318.4,8
Burnley,1430.04,8
Leicester,1350.12,8
Liverpool,1436.48,8
Huddersfield,1368.56,8
Tottenham,1466.12,8
Man City,1518.72,8
West Ham,1380.0,8
Arsenal,1438.44,9
Brighton,1392.2,9
Chelsea,1429.12,9
Crystal Palace,1303.16,9
Everton,1344.0,9
Southampton,1390.52,9
Watford,1434.08,9
Man United,1471.36,9
Newcastle,1413.76,9
Bournemouth,1344.96,9
Burnley,1418.12,9
Leicester,1374.32,9
Liverpool,1421.52,9
Huddersfield,1392.36,9
Tottenham,1481.08,9
Man City,1530.64,9
West Ham,1355.92,9
Arsenal,1449.92,10
Brighton,1388.68,10
Chelsea,1447.72,10
Crystal Palace,1302.76,10
Everton,1329.08,10
Southampton,1394.04,10
Watford,1406.24,10
Man United,1488.48,10
Newcastle,1397.44,10
Bournemouth,1326.36,10
Burnley,1434.44,10
Leicester,1389.24,10
Liverpool,1436.48,10
Huddersfield,1377.4,10
Tottenham,1463.96,10
Man City,1545.24,10
West Ham,1356.32,10
Arsenal,1438.32,11
Brighton,1408.68,11
Chelsea,1466.6,11
Crystal Palace,1294.0,11
Everton,1350.08,11
Southampton,1372.92,11
Watford,1385.24,11
Man United,1469.6,11
Newcastle,1370.24,11
Bournemouth,1353.56,11
Burnley,1455.56,11
Leicester,1392.04,11
Liverpool,1455.32,11
Huddersfield,1393.0,11
Tottenham,1472.72,11
Man City,1556.84,11
West Ham,1337.48,11
Arsenal,1456.84,12
Brighton,1403.4,12
Chelsea,1483.04,12
Crystal Palace,1293.76,12
Everton,1350.32,12
Southampton,1360.68,12
Watford,1399.24,12
Man United,1481.0,12
Newcastle,1358.84,12
Bournemouth,1372.36,12
Burnley,1464.88,12
Leicester,1377.88,12
Liverpool,1467.56,12
Huddersfield,1374.2,12
Tottenham,1454.2,12
Man City,1571.0,12
West Ham,1323.48,12
Arsenal,1480.72,13
Brighton,1390.92,13
Chelsea,1485.6,13
Crystal Palace,1315.28,13
Everton,1334.32,13
Southampton,1376.68,13
Watford,1420.36,13
Man United,1493.48,13
Newcastle,1337.72,13
Bournemouth,1371.6,13
Burnley,1441.0,13
Leicester,1378.2,13
Liverpool,1465.0,13
Huddersfield,1361.68,13
Tottenham,1444.4,13
Man City,1583.52,13
West Ham,1323.16,13
Arsenal,1491.24,14
Brighton,1383.48,14
Chelsea,1493.44,14
Crystal Palace,1322.72,14
Everton,1350.28,14
Southampton,1369.6,14
Watford,1401.12,14
Man United,1512.72,14
Newcastle,1341.12,14
