team,ranking,elo,points,w,d,l,goals_for,goals_against,goal_difference,matched_played,last_date
Man City,1,1735.24,198,64,6,6,201,50,151,38,2019-05-06
Liverpool,2,1704.2,172,51,19,6,173,60,113,38,2019-05-12
Tottenham,3,1455.72,148,46,10,20,141,75,66,38,2019-05-12
Man United,4,1477.12,147,44,15,17,133,82,51,38,2019-05-12
Chelsea,5,1512.0,142,42,16,18,125,77,48,38,2019-05-05
Arsenal,6,1480.92,133,40,13,23,147,102,45,38,2019-05-05
Everton,7,1449.44,103,28,19,29,98,104,-6,38,2019-05-03
Leicester,8,1400.08,99,27,18,31,107,108,-1,38,2019-05-12
West Ham,9,1419.28,94,25,19,32,100,123,-23,38,2019-05-04
Burnley,10,1356.72,94,25,19,32,81,107,-26,38,2019-05-12
Crystal Palace,11,1442.92,93,25,18,33,96,108,-12,38,2019-05-12
Watford,12,1349.28,91,25,16,35,96,123,-27,38,2019-05-12
Newcastle,13,1407.32,89,24,17,35,81,95,-14,38,2019-05-04
Bournemouth,14,1335.56,89,24,17,35,101,131,-30,38,2019-05-04
Brighton,15,1277.16,76,18,22,36,69,114,-45,38,2019-05-12
Southampton,16,1345.48,75,16,27,33,82,121,-39,38,2019-05-12
Wolves,17,1452.84,57,16,9,13,47,46,1,38,2019-05-04
Huddersfield,18,1158.12,53,12,17,47,50,134,-84,38,2019-05-05
Cardiff,19,1300.72,34,10,4,24,34,69,-35,38,2019-05-04
Swansea,20,1271.68,33,8,9,21,28,56,-28,38,2018-05-13
Stoke,21,1298.28,33,7,12,19,35,68,-33,38,2018-05-05
West Brom,22,1311.28,31,6,13,19,31,56,-25,38,2018-05-05
Fulham,23,1258.64,26,7,5,26,34,81,-47,38,2019-05-12
