team,elo,round
Newcastle,1338.12,12
Watford,1412.6,12
Wolves,1395.0,12
Arsenal,1470.52,12
Liverpool,1532.8,12
Southampton,1334.36,12
Cardiff,1313.6,12
Chelsea,1503.24,12
Everton,1435.72,12
Leicester,1388.92,12
Tottenham,1497.8,12
West Ham,1363.84,12
Brighton,1371.44,12
Burnley,1330.64,12
Man City,1548.04,12
Crystal Palace,1312.8,12
Man United,1440.2,13
Bournemouth,1389.24,13
Fulham,1299.0,13
Huddersfield,1339.44,13
Newcastle,1361.12,13
Watford,1396.04,13
Wolves,1367.2,13
Arsenal,1490.44,13
Liverpool,1549.36,13
Southampton,1314.64,13
Cardiff,1303.2,13
Chelsea,1486.36,13
Everton,1446.12,13
Leicester,1391.36,13
Tottenham,1514.68,13
West Ham,1350.68,13
Brighton,1369.0,13
Burnley,1307.64,13
Man City,1561.2,13
Crystal Palace,1323.08,13
Man United,1436.48,14
Bournemouth,1380.92,14
Fulham,1291.24,14
Huddersfield,1317.68,14
Newcastle,1337.12,14
Watford,1379.2,14
Wolves,1346.96,14
Arsenal,1508.4,14
Liverpool,1560.6,14
Southampton,1318.36,14
Cardiff,1323.44,14
Chelsea,1494.12,14
Everton,1434.88,14
Leicester,1408.2,14
Tottenham,1496.72,14
West Ham,1374.68,14
Brighton,1390.76,14
Burnley,1291.92,14
Man City,1569.52,14
Crystal Palace,1338.8,14
Man United,1437.16,15
Bournemouth,1394.12,15
Fulham,1294.48,15
Huddersfield,1304.48,15
Newcastle,1345.64,15
Watford,1366.36,15
Wolves,1371.88,15
Arsenal,1507.72,15
Liverpool,1569.84,15
Southampton,1310.28,15
Cardiff,1309.64,15
Chelsea,1469.2,15
Everton,1426.36,15
Leicester,1404.96,15
Tottenham,1504.8,15
West Ham,1388.48,15
Brighton,1404.52,15
Burnley,1282.68,15
Man City,1582.36,15
Crystal Palace,1325.04,15
Man United,1446.64,16
Bournemouth,1380.56,16
Fulham,1285.0,16
Huddersfield,1297.28,16
Newcastle,1323.72,16
Watford,1373.0,16
Wolves,1393.8,16
Arsenal,1514.92,16
Liverpool,1583.4,16
Southampton,1293.68,16
Cardiff,1326.24,16
Chelsea,1492.24,16
Everton,1419.72,16
Leicester,1387.24,16
Tottenham,1522.52,16
West Ham,1401.64,16
Brighton,1381.0,16
Burnley,1306.2,16
Man City,1559.32,16
Crystal Palace,1311.88,16
Man United,1436.88,17
Bournemouth,1364.72,17
Fulham,1268.24,17
Huddersfield,1275.36,17
Newcastle,1345.64,17
Watford,1387.04,17
Wolves,1409.64,17
Arsenal,1486.24,17
Liverpool,1593.16,17
Southampton,1322.36,17
Cardiff,1312.2,17
Chelsea,1509.32,17
Everton,1410.08,17
Leicester,1366.36,17
Tottenham,1529.28,17
West Ham,1418.4,17
Brighton,1363.92,17
Burnley,1299.44,17
Man City,1568.96,17
Crystal Palace,1332.76,17
Man United,1453.2,18
Bournemouth,1381.24,18
Fulham,1275.76,18
Huddersfield,1254.6,18
Newcastle,1338.12,18
Watford,1412.2,18
Wolves,1396.48,18
Arsenal,1494.04,18
Liverpool,1606.32,18
Southampton,1343.12,18
Cardiff,1295.88,18
Chelsea,1478.8,18
Everton,1393.44,18
Leicester,1396.88,18
Tottenham,1545.92,18
West Ham,1393.24,18
Brighton,1347.4,18
Burnley,1291.64,18
Man City,1535.12,18
Crystal Palace,1366.6,18
Man United,1460.56,19
Bournemouth,1372.64,19
Fulham,1279.24,19
Huddersfield,1247.24,19
Newcastle,1332.88,19
Watford,1392.56,19
Wolves,1393.0,19
Arsenal,1489.16,19
Liverpool,1611.56,19
Southampton,1322.56,19
Cardiff,1303.08,19
Chelsea,1498.44,19
Everton,1411.04,19
Leicester,1421.32,19
Tottenham,1554.52,19
West Ham,1413.8,19
Brighton,1352.28,19
Burnley,1274.04,19
Man City,1510.68,19
Crystal Palace,1359.4,19
Man United,1472.52,20
Bournemouth,1360.68,20
Fulham,1294.08,20
Huddersfield,1232.4,20
Newcastle,1339.52,20
Watford,1385.92,20
Wolves,1424.28,20
Arsenal,1478.8,20
Liverpool,1621.92,20
Southampton,1309.6,20
Cardiff,1332.52,20
Chelsea,1513.96,20
Everton,1391.12,20
Leicester,1391.88,20
Tottenham,1523.24,20
West Ham,1389.28,20
Brighton,1372.2,20
Burnley,1298.56,20
Man City,1523.64,20
Crystal Palace,1343.88,20
Man United,1488.36,21
Bournemouth,1358.68,21
Fulham,1286.24,21
Huddersfield,1212.76,21
Newcastle,1323.68,21
Watford,1387.92,21
Wolves,1396.6,21
Arsenal,1486.64,21
Liverpool,1599.72,21
Southampton,1322.44,21
Cardiff,1319.72,21
Chelsea,1501.12,21
Everton,1367.76,21
Leicester,1415.24,21
Tottenham,1536.04,21
West Ham,1384.92,21
Brighton,1376.56,21
Burnley,1318.2,21
Man City,1545.84,21
Crystal Palace,1371.56,21
Man United,1514.36,22
Bournemouth,1342.6,22
Fulham,1271.4,22
Huddersfield,1221.68,22
Newcastle,1315.56,22
Watford,1410.4,22
Wolves,1387.36,22
Arsenal,1464.24,22
Liverpool,1610.96,22
Southampton,1350.72,22
Cardiff,1310.8,22
Chelsea,1509.24,22
Everton,1383.84,22
Leicester,1386.96,22
Tottenham,1510.04,22
West Ham,1407.32,22
Brighton,1365.32,22
Burnley,1333.04,22
Man City,1555.08,22
Crystal Palace,1349.08,22
Man United,1523.6,23
Bournemouth,1362.88,23
Fulham,1260.88,23
Huddersfield,1214.8,23
Newcastle,1331.88,23
Watford,1402.88,23
Wolves,1403.92,23
Arsenal,1483.36,23
Liverpool,1616.4,23
Southampton,1369.16,23
Cardiff,1294.48,23
Chelsea,1490.12,23
Everton,1365.4,23
Leicester,1370.4,23
Tottenham,1520.56,23
West Ham,1387.04,23
Brighton,1356.08,23
Burnley,1340.56,23
Man City,1561.96,23
Crystal Palace,1343.64,23
Man United,1511.52,24
Bournemouth,1386.72,24
Fulham,1282.88,24
Huddersfield,1199.92,24
Newcastle,1360.96,24
Watford,1392.32,24
Wolves,1419.56,24
Arsenal,1491.08,24
Liverpool,1602.28,24
Southampton,1364.32,24
Cardiff,1286.76,24
Chelsea,1466.28,24
Everton,1380.28,24
Leicester,1384.52,24
Tottenham,1531.12,24
West Ham,1371.4,24
Brighton,1334.08,24
Burnley,1352.64,24
Man City,1532.88,24
Crystal Palace,1348.48,24
Man United,1527.72,25
Bournemouth,1364.44,25
Fulham,1269.8,25
Huddersfield,1194.6,25
Newcastle,1352.56,25
Watford,1392.44,25
Wolves,1440.76,25
Arsenal,1476.76,25
Liverpool,1593.16,25
Southampton,1367.08,25
Cardiff,1309.04,25
Chelsea,1471.6,25
Everton,1359.08,25
Leicester,1368.32,25
Tottenham,1539.52,25
West Ham,1380.52,25
Brighton,1333.96,25
Burnley,1349.88,25
Man City,1547.2,25
Crystal Palace,1361.56,25
Man United,1537.4,26
Bournemouth,1358.08,26
Fulham,1260.12,26
Huddersfield,1185.88,26
Newcastle,1371.0,26
Watford,1406.52,26
Wolves,1290.0,26
Arsenal,1485.48,26
Liverpool,1599.52,26
Southampton,1340.52,26
Cardiff,1335.6,26
Chelsea,1459.68,26
Everton,1332.04,26
Leicester,1359.96,26
Tottenham,1547.88,26
West Ham,1382.88,26
Brighton,1311.44,26
Burnley,1372.4,26
Man City,1572.08,26
Crystal Palace,1359.2,26
Man United,1537.52,27
Bournemouth,1358.92,27
Fulham,1249.76,27
Huddersfield,1177.64,27
Newcastle,1368.84,27
Watford,1425.88,27
Wolves,1431.88,27
Arsenal,1494.88,27
Liverpool,1599.4,27
Southampton,1331.12,27
