team,elo,round
Crystal Palace,1373.36,17
Watford,1410.44,17
Newcastle,1397.32,17
Bournemouth,1307.76,17
Brighton,1258.44,17
Southampton,1375.48,17
Huddersfield,1140.16,17
Swansea,1200,17
Stoke,1200,17
West Brom,1200,17
Man City,1656.24,18
Liverpool,1647.24,18
Tottenham,1446.2,18
Man United,1487.88,18
Chelsea,1478.64,18
Arsenal,1454.44,18
Everton,1419.88,18
Leicester,1397.8,18
West Ham,1371.48,18
Burnley,1382.4,18
Crystal Palace,1401.72,18
Watford,1382.32,18
Newcastle,1393.04,18
Bournemouth,1315.08,18
Brighton,1266.04,18
Southampton,1373.48,18
Huddersfield,1138.68,18
Swansea,1200,18
Stoke,1200,18
West Brom,1200,18
Man City,1667.12,19
Liverpool,1664.08,19
Tottenham,1419.44,19
Man United,1441.0,19
Chelsea,1488.04,19
Arsenal,1461.32,19
Everton,1437.12,19
Leicester,1394.44,19
West Ham,1410.6,19
Burnley,1348.72,19
Crystal Palace,1430.24,19
Watford,1348.32,19
Newcastle,1399.96,19
Bournemouth,1326.72,19
Brighton,1272.96,19
Southampton,1343.96,19
Huddersfield,1165.16,19
Swansea,1200,19
Stoke,1200,19
West Brom,1200,19
Man City,1658.84,20
Liverpool,1657.16,20
Tottenham,1419.24,20
Man United,1476.16,20
Chelsea,1480.2,20
Arsenal,1452.68,20
Everton,1465.04,20
Leicester,1392.2,20
West Ham,1376.16,20
Burnley,1357.56,20
Crystal Palace,1389.96,20
Watford,1381.6,20
Newcastle,1351.12,20
Bournemouth,1293.28,20
Brighton,1257.12,20
Southampton,1363.24,20
Huddersfield,1226.36,20
Swansea,1380.0,20
Stoke,1407.08,20
West Brom,1434.2,20
Man City,1681.28,21
Liverpool,1647.76,21
Tottenham,1437.96,21
Man United,1487.4,21
Chelsea,1512.72,21
Arsenal,1454.4,21
Everton,1423.88,21
Leicester,1363.24,21
West Ham,1368.32,21
Burnley,1380.96,21
Crystal Palace,1349.32,21
Watford,1394.56,21
Newcastle,1394.44,21
Bournemouth,1278.52,21
Brighton,1292.56,21
Southampton,1336.2,21
Huddersfield,1220.56,21
Swansea,1378.64,21
Stoke,1412.92,21
West Brom,1403.56,21
Man City,1693.0,22
Liverpool,1642.04,22
Tottenham,1451.48,22
Man United,1516.04,22
Chelsea,1523.24,22
Arsenal,1474.16,22
Everton,1421.44,22
Leicester,1349.56,22
West Ham,1353.56,22
Burnley,1384.08,22
Crystal Palace,1321.96,22
Watford,1409.4,22
Newcastle,1387.72,22
Bournemouth,1285.16,22
Brighton,1299.56,22
Southampton,1344.88,22
Huddersfield,1236.84,22
Swansea,1361.88,22
Stoke,1378.2,22
West Brom,1385.0,22
Man City,1711.04,23
Liverpool,1622.88,23
Tottenham,1471.24,23
Man United,1532.56,23
Chelsea,1481.96,23
Arsenal,1461.76,23
Everton,1393.4,23
Leicester,1347.8,23
West Ham,1376.16,23
Burnley,1404.0,23
Crystal Palace,1341.84,23
Watford,1432.08,23
Newcastle,1397.44,23
Bournemouth,1277.28,23
Brighton,1293.88,23
Southampton,1330.56,23
Huddersfield,1214.72,23
Swansea,1355.32,23
Stoke,1388.8,23
West Brom,1384.48,23
Man City,1721.68,24
Liverpool,1601.16,24
Tottenham,1480.0,24
Man United,1516.36,24
Chelsea,1508.72,24
Arsenal,1490.48,24
Everton,1357.16,24
Leicester,1388.36,24
West Ham,1350.68,24
Burnley,1416.88,24
Crystal Palace,1325.96,24
Watford,1391.64,24
Newcastle,1393.84,24
Bournemouth,1293.56,24
Brighton,1319.84,24
Southampton,1352.0,24
Huddersfield,1243.88,24
Swansea,1322.28,24
Stoke,1386.2,24
West Brom,1358.52,24
Man City,1734.76,25
Liverpool,1616.12,25
Tottenham,1472.2,25
Man United,1509.2,25
Chelsea,1538.56,25
Arsenal,1501.0,25
Everton,1375.76,25
Leicester,1384.88,25
West Ham,1325.88,25
Burnley,1446.28,25
Crystal Palace,1316.84,25
Watford,1387.92,25
Newcastle,1355.36,25
Bournemouth,1335.8,25
Brighton,1342.24,25
Southampton,1327.32,25
Huddersfield,1253.4,25
Swansea,1289.04,25
Stoke,1384.08,25
West Brom,1322.56,25
Man City,1740.76,26
Liverpool,1618.84,26
Tottenham,1440.44,26
Man United,1534.96,26
Chelsea,1551.6,26
Arsenal,1526.48,26
Everton,1371.32,26
Leicester,1405.88,26
West Ham,1310.96,26
Burnley,1444.28,26
Crystal Palace,1340.48,26
Watford,1392.24,26
Newcastle,1337.2,26
Bournemouth,1318.24,26
Brighton,1330.48,26
Southampton,1343.88,26
Huddersfield,1245.0,26
Swansea,1282.76,26
Stoke,1353.44,26
West Brom,1329.96,26
Man City,1756.08,27
Liverpool,1613.2,27
Tottenham,1453.72,27
Man United,1544.84,27
Chelsea,1528.48,27
Arsenal,1498.04,27
Everton,1395.64,27
Leicester,1442.68,27
West Ham,1338.68,27
Burnley,1440.24,27
Crystal Palace,1338.4,27
Watford,1376.84,27
Newcastle,1312.32,27
Bournemouth,1321.2,27
Brighton,1300.44,27
Southampton,1351.32,27
Huddersfield,1256.36,27
Swansea,1289.8,27
Stoke,1353.64,27
West Brom,1307.28,27
Man City,1764.16,28
Liverpool,1606.2,28
Tottenham,1458.24,28
Man United,1562.36,28
Chelsea,1544.76,28
Arsenal,1499.84,28
Everton,1424.4,28
Leicester,1432.08,28
West Ham,1367.52,28
Burnley,1446.64,28
Crystal Palace,1385.96,28
Watford,1328.96,28
Newcastle,1286.32,28
Bournemouth,1306.0,28
Brighton,1297.0,28
Southampton,1325.96,28
Huddersfield,1276.36,28
Swansea,1276.16,28
Stoke,1318.32,28
West Brom,1311.96,28
Man City,1769.88,29
Liverpool,1607.52,29
Tottenham,1489.76,29
Man United,1548.2,29
Chelsea,1547.8,29
Arsenal,1519.08,29
Everton,1423.76,29
Leicester,1412.36,29
West Ham,1341.2,29
Burnley,1434.04,29
Crystal Palace,1366.52,29
Watford,1334.28,29
Newcastle,1310.24,29
Bournemouth,1302.68,29
Brighton,1308.92,29
Southampton,1311.08,29
Huddersfield,1282.04,29
Swansea,1275.04,29
Stoke,1335.0,29
West Brom,1299.8,29
Man City,1756.8,30
Liverpool,1628.04,30
Tottenham,1492.04,30
Man United,1550.12,30
Chelsea,1555.6,30
Arsenal,1509.6,30
Everton,1384.48,30
Leicester,1415.44,30
West Ham,1366.64,30
Burnley,1415.84,30
Crystal Palace,1401.84,30
Watford,1305.64,30
Newcastle,1331.36,30
Bournemouth,1328.8,30
Brighton,1309.76,30
Southampton,1304.76,30
Huddersfield,1276.64,30
Swansea,1288.68,30
Stoke,1303.52,30
West Brom,1293.6,30
Man City,1735.44,31
Liverpool,1618.08,31
Tottenham,1495.68,31
Man United,1570.48,31
Chelsea,1555.12,31
Arsenal,1496.08,31
Everton,1366.68,31
Leicester,1436.16,31
West Ham,1379.88,31
Burnley,1383.96,31
Crystal Palace,1406.04,31
Watford,1291.84,31
Newcastle,1323.04,31
Bournemouth,1360.52,31
Brighton,1282.36,31
Southampton,1315.64,31
Huddersfield,1243.92,31
Swansea,1328.32,31
Stoke,1312.12,31
West Brom,1317.84,31
Man City,1724.08,32
Liverpool,1614.76,32
Tottenham,1525.48,32
Man United,1553.84,32
Chelsea,1493.72,32
Arsenal,1482.28,32
Everton,1375.04,32
Leicester,1408.88,32
West Ham,1356.16,32
Burnley,1397.68,32
Crystal Palace,1400.12,32
Watford,1325.32,32
Newcastle,1330.96,32
Bournemouth,1405.08,32
Brighton,1309.36,32
Southampton,1334.12,32
Huddersfield,1234.08,32
Swansea,1361.04,32
Stoke,1295.48,32
West Brom,1291.72,32
Man City,1737.8,33
Liverpool,1629.2,33
Tottenham,1554.24,33
Man United,1540.32,33
Chelsea,1485.72,33
Arsenal,1458.44,33
Everton,1371.76,33
Leicester,1395.6,33
West Ham,1365.36,33
Burnley,1372.72,33
Crystal Palace,1367.6,33
Watford,1331.72,33
Newcastle,1364.2,33
Bournemouth,1374.4,33
Brighton,1332.44,33
Southampton,1331.68,33
Huddersfield,1285.04,33
Swansea,1359.24,33
Stoke,1302.0,33
West Brom,1259.72,33
Man City,1747.6,34
Liverpool,1613.36,34
Tottenham,1572.8,34
Man United,1575.2,34
Chelsea,1490.24,34
Arsenal,1446.52,34
Everton,1371.88,34
Leicester,1406.24,34
West Ham,1327.32,34
Burnley,1410.36,34
Crystal Palace,1343.68,34
Watford,1332.64,34
Newcastle,1373.68,34
Bournemouth,1365.68,34
Brighton,1339.56,34
Southampton,1311.84,34
Huddersfield,1281.88,34
Swansea,1374.08,34
Stoke,1302.92,34
West Brom,1231.72,34
Man City,1722.12,35
Liverpool,1618.48,35
Tottenham,1598.96,35
Man United,1614.12,35
Chelsea,1471.52,35
Arsenal,1455.2,35
Everton,1394.84,35
Leicester,1400.16,35
West Ham,1343.04,35
Burnley,1423.28,35
Crystal Palace,1358.4,35
Watford,1327.04,35
Newcastle,1410.2,35
Bournemouth,1371.56,35
Brighton,1312.88,35
Southampton,1296.12,35
Huddersfield,1258.24,35
Swansea,1366.8,35
Stoke,1267.32,35
West Brom,1208.92,35
Man City,1738.52,36
Liverpool,1610.0,36
Tottenham,1571.2,36
Man United,1588.56,36
Chelsea,1497.6,36
Arsenal,1444.4,36
Everton,1396.36,36
Leicester,1376.64,36
West Ham,1345.0,36
Burnley,1433.24,36
Crystal Palace,1371.2,36
Watford,1290.96,36
Newcastle,1429.84,36
Bournemouth,1353.92,36
Brighton,1310.12,36
Southampton,1282.8,36
Huddersfield,1277.72,36
Swansea,1359.8,36
Stoke,1275.24,36
West Brom,1266.08,36
Man City,1746.24,37
Liverpool,1593.84,37
Tottenham,1576.16,37
Man United,1567.32,37
Chelsea,1513.04,37
Arsenal,1445.88,37
Everton,1420.64,37
Leicester,1334.64,37
West Ham,1353.96,37
Burnley,1418.36,37
Crystal Palace,1406.28,37
Watford,1308.0,37
Newcastle,1358.76,37
Bournemouth,1350.32,37
Brighton,1350.68,37
Southampton,1313.28,37
Huddersfield,1262.08,37
Swansea,1324.36,37
Stoke,1278.68,37
West Brom,1296.68,37
Man City,1736.04,38
Liverpool,1579.12,38
Tottenham,1560.28,38
Man United,1564.76,38
Chelsea,1493.8,38
Arsenal,1452.56,38
Everton,1400.72,38
Leicester,1350.88,38
West Ham,1382.16,38
Burnley,1377.0,38
Crystal Palace,1418.72,38
Watford,1302.28,38
Newcastle,1377.04,38
Bournemouth,1376.6,38
Brighton,1341.2,38
Southampton,1332.2,38
Huddersfield,1279.4,38
Swansea,1275.72,38
Stoke,1303.28,38
West Brom,1315.44,38
